Category,Name,Price,Type
Pasta,Aglio-Olio Pasta Veg,186,Non Veg
Pasta,Italian Pasta Alfredo Veg,196,Non Veg
Pasta,Spaghetti Bolognise Pasta (Lamb),233,Veg
Pasta,Spaghetti Carbonara Chicken,229,Veg
Pasta,Sundried Tomato Pasta Non-Veg,258,Veg
Pasta,Italian Pasta Alfredo Non-Veg,224,Veg
Pasta,Olive Blasta Pasta Non-Veg,248,Veg
Pasta,Italian Prawns Pasta,300,Veg
Pasta,Pinky Pasta Non-Veg,215,Veg
Pasta,Aglio-Olio Pasta(Non Veg),215,Veg
Pasta,Creamy Cheese Sauce Pasta Non-Veg,215,Veg
Pasta,Pesto Pasta Non-Veg,215,Veg
Pasta,Bianca Pasta Non-Veg,215,Veg
Pasta,Arrabiata Pasta Non-Veg,215,Veg
Beverages,Ice Tea (400ML),105,Non Veg
Beverages,Kiwi Margarita (400ML),124,Non Veg
Beverages,Iced Latte Shake (400ML),115,Non Veg
Beverages,Friazo Milano,143,Non Veg
Beverages,Irish Coffee Shake (400ML),143,Non Veg
Beverages,Frozen Hazelnut,143,Non Veg
Beverages,Santa Maria (400ML),143,Non Veg
Beverages,Friazzo Biscotti,143,Non Veg
Beverages,Mocha Ice Berg Shake (400ML),143,Non Veg
Beverages,Oreo Shake (400ML),158,Non Veg
Beverages,Brownie Point,162,Veg
Beverages,Ferrero Rocher Shake (400ML),162,Veg
Beverages,Mojito (400ML),124,Non Veg
Beverages,Black Currant Granita (400ML),105,Non Veg
Beverages,Blue Curacao Granita (400ML),105,Non Veg
Beverages,Lime Granita (400ML),105,Non Veg
Beverages,Green Apple Granita (400ML),105,Non Veg
Beverages,Strawberry Granita (400ML),105,Non Veg
Beverages,Rainbow Granita (400ML),124,Non Veg
Beverages,Montego,139,Non Veg
Beverages,Frozen Strawberry (400ML),139,Non Veg
Beverages,Cupid Valentino,139,Non Veg
Beverages,Choco Mocha,139,Non Veg
Beverages,Blueberry Shake (400ML),148,Non Veg
Beverages,Very Berry Blast (400ML),153,Non Veg
Beverages,Peanut Butter & Nutella Shake (400ML),153,Non Veg
Desserts,Choco Lava Cake,77,Non Veg
